"id","type","name","name_en","operator","status","hours","phone","lat","lng","address","area","sub_area","official_url","last_verified","note"
"takasu-chuo-park","park","高洲中央公園","Takasu Chuo Park","浦安市","open","","","35.640316","139.913483","千葉県浦安市高洲","ベイサイド","新町","https://www.city.urayasu.lg.jp/shisetsu/kouen/1005636.html","2026-06-30","野球場・テニスコート・桜/精度:町丁目"
"mihama-undo-park","park","美浜運動公園","Mihama Sports Park","浦安市","open","","","35.651039","139.911285","千葉県浦安市美浜","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisetsu/kouen/1005641.html","2026-06-30","運動施設のある公園/精度:町丁目"
"maihama-park","park","舞浜公園","Maihama Park","浦安市","open","","","35.632145","139.881638","千葉県浦安市舞浜","リゾート","舞浜","https://www.city.urayasu.lg.jp/shisetsu/kouen/index.html","2026-06-30","舞浜エリアの街区公園/精度:町丁目"
"higashino-jido-center","childcare","東野児童センター","Higashino Children Center","浦安市","open","火〜日10:00-17:00(月休)","047-355-2736","35.651653","139.90123","千葉県浦安市東野1-7-1（総合福祉センター内）","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisetsu/kosodate/kosodate/1005531.html","2026-06-30","0〜18歳/えくぼルーム・工作室・図書室"
"takasu-jido-center","childcare","高洲児童センター","Takasu Children Center","浦安市","open","月〜金10:00-18:00/土日9:00-17:00","047-304-0315","35.636314","139.917923","千葉県浦安市高洲5-3-2（エスレ高洲内）","ベイサイド","新町","https://www.city.urayasu.lg.jp/shisetsu/kosodate/kosodate/1005526.html","2026-06-30","0〜18歳/地域交流プラザ エスレ高洲内"
"urayasu-kosodate-center","childcare","浦安市子育て支援センター（本所）","Urayasu Childcare Support Center","浦安市","open","月〜土9:00-17:00(日祝休)","047-351-1176","35.656803","139.903854","千葉県浦安市猫実1-12-38（集合事務所3階）","リバーサイド","浦安駅","https://www.city.urayasu.lg.jp/shisetsu/kosodate/kosodate/1005523.html","2026-06-30","0歳〜未就学/育児相談・ハッピータイム"
"horie-tsudoi","childcare","堀江つどいの広場","Horie Tsudoi Hiroba","浦安市","open","","","35.659451","139.892502","千葉県浦安市堀江三丁目","リバーサイド","元町","https://www.city.urayasu.lg.jp/kodomo/kosodate/ikuji/1000812.html","2026-06-30","0〜3歳+保護者/無料/精度:町丁目"
"akemi-tsudoi","childcare","明海つどいの広場","Akemi Tsudoi Hiroba","浦安市","open","","","35.639648","139.925568","千葉県浦安市明海五丁目","ベイサイド","新町","https://www.city.urayasu.lg.jp/kodomo/kosodate/ikuji/1000812.html","2026-06-30","0〜3歳+保護者/無料/精度:町丁目"
"urayasu-ekimae-plaza","childcare","浦安駅前こども・青少年プラザ","Urayasu Ekimae Kodomo Plaza","浦安市","open","","","35.65099","139.899628","千葉県浦安市東野一丁目","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/kodomo/seishonen/torikumi/1048026.html","2026-06-30","未就学〜おおむね22歳/精度:町丁目"
"kids-sports-room","childcare","キッズスポーツルーム","Kids Sports Room","浦安市","open","10:00-17:00(1時間入替制/第1・3水休)","047-304-0030","35.640255","139.885254","千葉県浦安市舞浜2-27（運動公園内）","リゾート","舞浜","https://www.city.urayasu.lg.jp/shisetsu/sports/etc/1025717.html","2026-06-30","ハイハイ〜6歳/市内230円市外340円/undo-park内"
"takasu-hoikuen-shien","childcare","高洲保育園 地域子育て支援センター","","浦安市","open","月〜金","","35.637848","139.909363","千葉県浦安市高洲二丁目","ベイサイド","新町","https://www.city.urayasu.lg.jp/kodomo/kosodate/ikuji/1000812.html","2026-06-30","保育園併設の地域子育て支援センター/精度:町丁目"
"kaien-no-machi-shien","childcare","海園の街保育園 地域子育て支援センター","","浦安市","open","火・水・金","","35.639397","139.920013","千葉県浦安市明海三丁目","ベイサイド","新町","https://www.city.urayasu.lg.jp/kodomo/kosodate/ikuji/1000812.html","2026-06-30","保育園併設/精度:町丁目"
"benten-hoikuen-shien","childcare","弁天保育園 地域子育て支援センター","","浦安市","open","月〜金","","35.642437","139.895844","千葉県浦安市弁天一丁目","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/kodomo/kosodate/ikuji/1000812.html","2026-06-30","保育園併設/精度:町丁目"
"urayasu-ekimae-hoikuen-shien","childcare","浦安駅前保育園 地域子育て支援センター","","浦安市","open","月〜金","","35.663174","139.89389","千葉県浦安市猫実四丁目","リバーサイド","浦安駅","https://www.city.urayasu.lg.jp/kodomo/kosodate/ikuji/1000812.html","2026-06-30","保育園併設/精度:町丁目"
"irifune-kita-hoikuen-shien","childcare","入船北保育園 地域子育て支援センター","","浦安市","open","月〜金","","35.650372","139.920517","千葉県浦安市入船四丁目","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/kodomo/kosodate/ikuji/1000812.html","2026-06-30","保育園併設/精度:町丁目"
"shiokaze-hoikuen-shien","childcare","しおかぜ保育園 地域子育て支援センター","","浦安市","open","月〜金","","35.647511","139.890442","千葉県浦安市富士見四丁目","リバーサイド","元町","https://www.city.urayasu.lg.jp/kodomo/kosodate/ikuji/1000812.html","2026-06-30","保育園併設/精度:町丁目"
"poppins-shin-urayasu-shien","childcare","ポピンズナーサリースクール新浦安 地域子育て支援センター","","ポピンズ","open","月〜金","","35.649063","139.913803","千葉県浦安市入船一丁目","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/kodomo/kosodate/ikuji/1000812.html","2026-06-30","保育園併設/精度:町丁目"
"aiwa-motomachi-hoikuen-shien","childcare","愛和元町保育園 地域子育て支援センター","","","open","月〜金","","35.655758","139.890503","千葉県浦安市堀江五丁目","リバーサイド","元町","https://www.city.urayasu.lg.jp/kodomo/kosodate/ikuji/1000812.html","2026-06-30","保育園併設/精度:町丁目"
"chuo-library","library","浦安市立中央図書館","Urayasu Central Library","浦安市","open","","","35.654682","139.901321","千葉県浦安市猫実一丁目2","リバーサイド","浦安駅","https://www.city.urayasu.lg.jp/shisetsu/bunka/toshokan/index.html","2026-06-30","市役所・猫実周辺/学習室・閲覧席"
"takasu-bunkan","library","高洲分館","","浦安市","open","","","35.636314","139.917923","千葉県浦安市高洲5-3-2","ベイサイド","新町","https://www.city.urayasu.lg.jp/shisetsu/bunka/toshokan/index.html","2026-06-30","高洲公民館併設の図書館分館/エスレ高洲"
"tojima-bunkan","library","当代島分館","","浦安市","open","","","35.669701","139.890274","千葉県浦安市当代島2-14-1","リバーサイド","浦安駅","https://www.city.urayasu.lg.jp/shisetsu/bunka/toshokan/index.html","2026-06-30","当代島公民館併設"
"tomioka-bunkan","library","富岡分館","","浦安市","open","","","35.641632","139.901993","千葉県浦安市富岡3-1-7","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisetsu/bunka/toshokan/index.html","2026-06-30","富岡公民館併設"
"nekozane-bunkan","library","猫実分館","","浦安市","open","","","35.655499","139.901672","千葉県浦安市猫実","リバーサイド","浦安駅","https://www.city.urayasu.lg.jp/shisetsu/bunka/toshokan/index.html","2026-06-30","図書館分館/精度:町丁目"
"hinode-bunkan","library","日の出分館","","浦安市","open","","","35.64415","139.923218","千葉県浦安市日の出4-1-1","ベイサイド","新町","https://www.city.urayasu.lg.jp/shisetsu/bunka/toshokan/index.html","2026-06-30","日の出公民館併設"
"horie-bunkan","library","堀江分館","","浦安市","open","","","35.653542","139.891312","千葉県浦安市富士見2-2-1","リバーサイド","元町","https://www.city.urayasu.lg.jp/shisetsu/bunka/toshokan/index.html","2026-06-30","堀江公民館併設（所在地は富士見2丁目）"
"mihama-bunkan","library","美浜分館","","浦安市","open","","","35.653904","139.915878","千葉県浦安市美浜5-13-1","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisetsu/bunka/toshokan/index.html","2026-06-30","美浜公民館併設"
"chuo-kominkan","kominkan","中央公民館","","浦安市","open","","","35.663254","139.893509","千葉県浦安市猫実4-18-1","リバーサイド","浦安駅","https://www.city.urayasu.lg.jp/shisetsu/bunka/kouminkan/index.html","2026-06-30","体育館・調理室・和室/指定避難所"
"horie-kominkan","kominkan","堀江公民館","","浦安市","open","","","35.653542","139.891312","千葉県浦安市富士見2-2-1","リバーサイド","元町","https://www.city.urayasu.lg.jp/shisetsu/bunka/kouminkan/index.html","2026-06-30","元町/名称は堀江だが所在地は富士見2丁目/堀江分館併設/指定避難所"
"tojima-kominkan","kominkan","当代島公民館","","浦安市","open","","","35.669701","139.890274","千葉県浦安市当代島2-14-1","リバーサイド","浦安駅","https://www.city.urayasu.lg.jp/shisetsu/bunka/kouminkan/index.html","2026-06-30","浦安駅周辺/当代島分館併設/指定避難所"
"tomioka-kominkan","kominkan","富岡公民館","","浦安市","open","","","35.641632","139.901993","千葉県浦安市富岡3-1-7","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisetsu/bunka/kouminkan/index.html","2026-06-30","富岡分館併設/指定避難所"
"mihama-kominkan","kominkan","美浜公民館","","浦安市","open","","","35.653904","139.915878","千葉県浦安市美浜5-13-1","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisetsu/bunka/kouminkan/index.html","2026-06-30","美浜分館併設/指定避難所"
"takasu-kominkan","kominkan","高洲公民館","","浦安市","open","","","35.636314","139.917923","千葉県浦安市高洲5-3-2","ベイサイド","新町","https://www.city.urayasu.lg.jp/shisetsu/bunka/kouminkan/index.html","2026-06-30","新町/高洲分館併設/エスレ高洲/指定避難所"
"hinode-kominkan","kominkan","日の出公民館","","浦安市","open","","","35.64415","139.923218","千葉県浦安市日の出4-1-1","ベイサイド","新町","https://www.city.urayasu.lg.jp/shisetsu/bunka/kouminkan/index.html","2026-06-30","新町/日の出分館併設/指定避難所"
"bunka-kaikan","culture","浦安市文化会館","Urayasu Cultural Hall","浦安市","open","","","35.653732","139.902008","千葉県浦安市猫実一丁目1番2号","リバーサイド","浦安駅","https://www.city.urayasu.lg.jp/shisetsu/bunka/bunka/index.html","2026-06-30","大ホール・小ホール・会議室・練習室"
"wave101","culture","市民プラザ Wave101","Wave101","浦安市","open","","","35.649055","139.914963","千葉県浦安市入船一丁目4番1号","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisetsu/bunka/bunka/index.html","2026-06-30","新浦安駅近く/ホール・ギャラリー・会議室"
"jcom-ongaku-hall","culture","J:COM浦安音楽ホール","J:COM Urayasu Music Hall","浦安市","open","","","35.648838","139.911865","千葉県浦安市入船一丁目6番1号","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisetsu/bunka/bunka/index.html","2026-06-30","新浦安駅前/コンサート・音楽活動"
"kyodo-museum","culture","浦安市郷土博物館","Urayasu City Folk Museum","浦安市","open","","","35.654316","139.901718","千葉県浦安市猫実一丁目2番7号","リバーサイド","浦安駅","https://www.city.urayasu.lg.jp/shisetsu/bunka/bunka/index.html","2026-06-30","健康センター隣・駐車場共用"
"otsuka-jutaku","culture","旧大塚家住宅","Former Otsuka Residence","浦安市","open","","","35.65554","139.897842","千葉県浦安市堀江","リバーサイド","元町","https://www.city.urayasu.lg.jp/shisetsu/bunka/bunka/index.html","2026-06-30","歴史的建造物/精度:町丁目"
"udagawa-jutaku","culture","旧宇田川家住宅","Former Udagawa Residence","浦安市","open","","","35.65554","139.897842","千葉県浦安市堀江","リバーサイド","元町","https://www.city.urayasu.lg.jp/shisetsu/bunka/bunka/index.html","2026-06-30","歴史的建造物/精度:町丁目"
"city-hall","government","浦安市役所","Urayasu City Hall","浦安市","open","月〜金8:30-17:15","047-351-1111","35.653732","139.902008","千葉県浦安市猫実一丁目1番1号","リバーサイド","浦安駅","https://www.city.urayasu.lg.jp/shisetsu/shikanren/shiyakusho/index.html","2026-06-30","本庁/市民課ほか"
"urayasu-ekimae-service","government","浦安駅前行政サービスセンター","Urayasu Sta. Service Center","浦安市","open","平日8:30-17:00","047-354-2721","35.66581","139.893646","千葉県浦安市北栄一丁目13番25号 西友パート2 1階","リバーサイド","浦安駅","https://www.city.urayasu.lg.jp/todokede/testuduki/shomei/1005847.html","2026-06-30","証明書交付など/seiyu-part2内"
"shin-urayasu-ekimae-service","government","新浦安駅前行政サービスセンター","Shin-Urayasu Sta. Service Center","浦安市","open","平日8:30-17:00","047-390-6276","35.650169","139.913925","千葉県浦安市入船一丁目2番1号 プラザマーレ内2階","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/todokede/testuduki/shomei/1005847.html","2026-06-30","証明書交付など/plaza-mare内"
"maihama-ekimae-service","government","舞浜駅前行政サービスセンター","Maihama Sta. Service Center","浦安市","open","平日8:30-17:00","047-390-6396","35.637394","139.881638","千葉県浦安市舞浜25番地2 舞浜駅北口2階","リゾート","舞浜","https://www.city.urayasu.lg.jp/todokede/testuduki/shomei/1005847.html","2026-06-30","証明書交付など"
"kenko-center","medical","浦安市健康センター","Urayasu Health Center","浦安市","open","","","35.654427","139.901886","千葉県浦安市猫実一丁目2番5号","リバーサイド","浦安駅","https://www.city.urayasu.lg.jp/shisetsu/hoken/hoken/1005500.html","2026-06-30","急病診療所・休日歯科を内包/郷土博物館と駐車場共用"
"kyubyo-shinryojo","medical","浦安市急病診療所","Urayasu Emergency Clinic","浦安市","open","夜間20:00-23:00/日祝10:00-17:00","047-381-9999","35.654427","139.901886","千葉県浦安市猫実一丁目2番5号 健康センター1階","リバーサイド","浦安駅","https://www.city.urayasu.lg.jp/shisetsu/hoken/hoken/1005500.html","2026-06-30","内科・小児科の応急診療"
"kyujitsu-shika","medical","休日救急等歯科診療所","Holiday Emergency Dental Clinic","浦安市","open","日祝9:00-12:00","047-381-4749","35.654427","139.901886","千葉県浦安市猫実一丁目2番5号 健康センター1階","リバーサイド","浦安駅","https://www.city.urayasu.lg.jp/todokede/anzen/kyukyu/1002082.html","2026-06-30","歯科応急処置のみ"
"tokyo-bay-medical","medical","東京ベイ・浦安市川医療センター","Tokyo Bay Urayasu Ichikawa Medical Center","地域医療振興協会","open","","","35.671627","139.893219","千葉県浦安市当代島三丁目4番32号","リバーサイド","浦安駅","","2026-06-30","2次救急・本文言及/当代島"
"sogo-taiikukan","sports","浦安市総合体育館（バルドラール浦安アリーナ）","Urayasu Gymnasium (Bardral Urayasu Arena)","浦安市/浦安市運動公園","open","","","35.640255","139.885254","千葉県浦安市舞浜2番27号","リゾート","舞浜","https://www.urayasu-zaidan.or.jp/taiikukan/","2026-06-30","バルドラール浦安ホーム/undo-park内/幼児室・トレーニングルーム"
"rikujo-kyogijo","sports","浦安市運動公園 陸上競技場","Urayasu Athletic Park Stadium","浦安市","open","","","35.640255","139.885254","千葉県浦安市舞浜2番27号","リゾート","舞浜","https://www.city.urayasu.lg.jp/shisetsu/sports/index.html","2026-06-30","ブリオベッカ浦安・市川ホーム会場の目安/undo-park内"
"d-park","sports","浦安Dパーク","Urayasu D-Park","浦安D-Rocks","open","","","35.664177","139.896225","千葉県浦安市北栄一丁目1番1号","リバーサイド","浦安駅","https://urayasu-d-rocks.com/","2026-06-30","浦安D-Rocks練習拠点/公開練習・ファンイベント会場"
"chuo-budokan","sports","浦安市中央武道館","Urayasu Chuo Budokan","浦安市","open","","047-380-2100","35.657745","139.902573","千葉県浦安市猫実一丁目18番15号","リバーサイド","浦安駅","https://www.city.urayasu.lg.jp/shisetsu/sports/index.html","2026-06-30","剣道・柔道・弓道場/浦安駅エリア"
"atre-shin-urayasu-lg","commercial","アトレ新浦安","atre Shin-Urayasu","アトレ","open","","","35.64994","139.91272","千葉県浦安市入船一丁目1番1号","ベイサイド","新浦安","","2026-06-30","新浦安駅直結/既存facility-database.csvにatre-shin-urayasuで登録済(重複)"
"mona-shin-urayasu-lg","commercial","MONA新浦安","MONA Shin-Urayasu","","open","","","35.648975","139.913177","千葉県浦安市入船一丁目5番1号","ベイサイド","新浦安","","2026-06-30","新浦安駅前/既存facility-database.csvにmona-shin-urayasuで登録済(重複)"
"new-coast-shin-urayasu","commercial","ニューコースト新浦安","New Coast Shin-Urayasu","","open","","","35.643726","139.922821","千葉県浦安市明海四丁目1番1号","ベイサイド","新町","","2026-06-30","大型商業施設"
"ikspiari","commercial","イクスピアリ","Ikspiari","オリエンタルランド","open","","","35.631264","139.874329","千葉県浦安市舞浜一丁目4番","リゾート","舞浜","","2026-06-30","舞浜駅前の商業施設"
"plaza-mare","commercial","プラザマーレ","Plaza Mare","","open","","","35.650169","139.913925","千葉県浦安市入船一丁目2番1号","ベイサイド","新浦安","","2026-06-30","新浦安駅前行政サービスセンターが入居"
"seiyu-part2","commercial","西友パート2","Seiyu Part 2","西友","open","","","35.66581","139.893646","千葉県浦安市北栄一丁目13番25号","リバーサイド","浦安駅","","2026-06-30","浦安駅前行政サービスセンターが入居/既存DBのseiyu-urayasu-ekimae(北栄1-14-1)とは別棟"
"aeon-urayasu-area","commercial","イオン新浦安店（ショッパーズプラザ新浦安）","AEON Shin-Urayasu","イオン","open","","047-350-1147","35.649055","139.914963","千葉県浦安市入船一丁目4番1号","ベイサイド","新浦安","","2026-06-30","新浦安駅前の大型商業施設/Wave101と同一街区/既存facility-database.csvにイオンスタイル新浦安(poi-073)等で登録済"
"shelter-02","evacuation","北部小学校","","浦安市","open","","","35.665024","139.900558","千葉県浦安市北栄3-20-1","リバーサイド","浦安駅","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-03","evacuation","浦安中学校","","浦安市","open","","","35.660625","139.907806","千葉県浦安市海楽2-36-1","リバーサイド","元町","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-04","evacuation","千葉県立浦安高等学校","","千葉県","open","","","35.660625","139.907806","千葉県浦安市海楽2-36-2","リバーサイド","元町","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-05","evacuation","浦安小学校","","浦安市","open","","","35.663216","139.894867","千葉県浦安市猫実4-9-1","リバーサイド","浦安駅","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-06","evacuation","東小学校","","浦安市","open","","","35.655495","139.902725","千葉県浦安市猫実1-11-1","リバーサイド","浦安駅","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-07","evacuation","南小学校","","浦安市","open","","","35.654716","139.892868","千葉県浦安市堀江5-4-1","リバーサイド","元町","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-08","evacuation","堀江中学校","","浦安市","open","","","35.650421","139.890442","千葉県浦安市富士見2-19-1","リバーサイド","元町","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-09","evacuation","東海大学付属浦安高等学校・中等部","","","open","","","35.64645","139.892197","千葉県浦安市東野3-11-1","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-10","evacuation","東野小学校","","浦安市","open","","","35.651554","139.901428","千葉県浦安市東野1-7-3","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-11","evacuation","美浜南小学校","","浦安市","open","","","35.651051","139.907516","千葉県浦安市美浜3-15-1","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-12","evacuation","美浜北小学校","","浦安市","open","","","35.655449","139.915359","千葉県浦安市美浜5-12-1","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-13","evacuation","美浜中学校","","浦安市","open","","","35.655449","139.915359","千葉県浦安市美浜5-12-2","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-14","evacuation","入船小学校","","浦安市","open","","","35.646751","139.913605","千葉県浦安市入船3-66-1","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-15","evacuation","入船中学校","","浦安市","open","","","35.646751","139.913605","千葉県浦安市入船3-66-3","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-16","evacuation","まちづくり活動プラザ","","浦安市","open","","","35.65387","139.919098","千葉県浦安市入船5-45-1","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-17","evacuation","富岡小学校","","浦安市","open","","","35.648228","139.904556","千葉県浦安市富岡1-1-1","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-18","evacuation","富岡中学校","","浦安市","open","","","35.649792","139.904099","千葉県浦安市富岡1-23-1","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-19","evacuation","見明川小学校","","浦安市","open","","","35.638367","139.896103","千葉県浦安市弁天3-1-2","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-20","evacuation","見明川中学校","","浦安市","open","","","35.638367","139.896103","千葉県浦安市弁天3-1-1","ベイサイド","新浦安","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-21","evacuation","舞浜小学校","","浦安市","open","","","35.641628","139.884995","千葉県浦安市舞浜2-1-1","リゾート","舞浜","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-23","evacuation","日の出小学校","","浦安市","open","","","35.646873","139.926559","千葉県浦安市日の出3-1-1","ベイサイド","新町","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-24","evacuation","日の出中学校","","浦安市","open","","","35.646873","139.926559","千葉県浦安市日の出3-1-2","ベイサイド","新町","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-25","evacuation","日の出南小学校","","浦安市","open","","","35.642189","139.929459","千葉県浦安市日の出5-4-4","ベイサイド","新町","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-26","evacuation","明海小学校","","浦安市","open","","","35.641003","139.918198","千葉県浦安市明海2-13-4","ベイサイド","新町","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-27","evacuation","明海南小学校・明海中学校","","浦安市","open","","","35.638771","139.924454","千葉県浦安市明海5-5-1","ベイサイド","新町","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
"shelter-28","evacuation","明海大学 浦安キャンパス","","","open","","","35.643593","139.920105","千葉県浦安市明海1-2-1","ベイサイド","新町","https://www.city.urayasu.lg.jp/shisei/keikaku/joho/1022110/1025892/1025894/1022116.html","2026-06-30","指定避難所（災害対策基本法）"
